sample,fastq_1,fastq_2,strandedness
GYN_002,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_002_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_002_R2.fastq.gz,reverse
GYN_004,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_004_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_004_R2.fastq.gz,reverse
GYN_007,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_007_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_007_R2.fastq.gz,reverse
GYN_008,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_008_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_008_R2.fastq.gz,reverse
GYN_010,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_010_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_010_R2.fastq.gz,reverse
GYN_011,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_011_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_011_R2.fastq.gz,reverse
GYN_014,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_014_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_014_R2.fastq.gz,reverse
GYN_017,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_017_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_017_R2.fastq.gz,reverse
GYN_018,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_018_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_018_R2.fastq.gz,reverse
GYN_019,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_019_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_019_R2.fastq.gz,reverse
GYN_023,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_023_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_023_R2.fastq.gz,reverse
GYN_024,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_024_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_024_R2.fastq.gz,reverse
GYN_030,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_030_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_030_R2.fastq.gz,reverse
GYN_033,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_033_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_033_R2.fastq.gz,reverse
GYN_035,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_035_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_035_R2.fastq.gz,reverse
GYN_041,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_041_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_041_R2.fastq.gz,reverse
GYN_044,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_044_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_044_R2.fastq.gz,reverse
GYN_045,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_045_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_045_R2.fastq.gz,reverse
GYN_047,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_047_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_047_R2.fastq.gz,reverse
GYN_051,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_051_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_051_R2.fastq.gz,reverse
GYN_054,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_054_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_054_R2.fastq.gz,reverse
GYN_107,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_107_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_107_R2.fastq.gz,reverse
GYN_123,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_123_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_123_R2.fastq.gz,reverse
GYN_155,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_155_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_155_R2.fastq.gz,reverse
GYN_178,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_178_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_178_R2.fastq.gz,reverse
GYN_182,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_182_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_182_R2.fastq.gz,reverse
GYN_267,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_267_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_267_R2.fastq.gz,reverse
GYN_273B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_273B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_273B_R2.fastq.gz,reverse
GYN_277_R,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_277_R_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_277_R_R2.fastq.gz,reverse
GYN_298,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_298_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_298_R2.fastq.gz,reverse
GYN_308,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_308_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_308_R2.fastq.gz,reverse
GYN_310,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_310_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_310_R2.fastq.gz,reverse
GYN_311,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_311_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_311_R2.fastq.gz,reverse
GYN_316,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_316_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_316_R2.fastq.gz,reverse
GYN_318,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_318_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_318_R2.fastq.gz,reverse
GYN_320,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_320_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_320_R2.fastq.gz,reverse
GYN_325,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_325_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_325_R2.fastq.gz,reverse
GYN_328,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_328_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_328_R2.fastq.gz,reverse
GYN_331,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_331_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_331_R2.fastq.gz,reverse
GYN_333,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_333_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_333_R2.fastq.gz,reverse
GYN_337,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_337_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_337_R2.fastq.gz,reverse
GYN_339,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_339_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_339_R2.fastq.gz,reverse
GYN_341,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_341_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_341_R2.fastq.gz,reverse
GYN_342,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_342_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_342_R2.fastq.gz,reverse
GYN_344,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_344_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_344_R2.fastq.gz,reverse
GYN_347,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_347_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_347_R2.fastq.gz,reverse
GYN_349,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_349_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_349_R2.fastq.gz,reverse
GYN_351,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_351_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_351_R2.fastq.gz,reverse
GYN_356,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_356_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_356_R2.fastq.gz,reverse
GYN_367,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_367_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_367_R2.fastq.gz,reverse
GYN_368,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_368_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_368_R2.fastq.gz,reverse
GYN_370,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_370_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_370_R2.fastq.gz,reverse
GYN_377,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_377_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_377_R2.fastq.gz,reverse
